"ptrid","resultid","offsetcount","moduleid","moduleoffset","offset1","offset2","offset3","offset4","offset5","offset6","offset7"
"1","16030","7","48","60022984","392","40","16","184","72","352","144"
"1","16031","7","48","60022984","392","40","16","184","72","384","144"
"1","16032","7","48","60022984","392","40","16","184","72","416","144"
"1","16033","7","48","60022984","392","40","16","184","72","448","144"
"1","16034","7","48","60022984","392","40","16","184","72","480","144"
"1","16035","7","48","60022984","392","40","16","184","72","512","144"
"1","16036","7","48","60282864","392","40","16","184","72","0","144"
"1","16037","7","48","60282864","392","40","16","184","72","40","144"
"1","16038","7","48","60282864","392","40","16","184","72","80","144"
"1","16039","7","48","60282864","392","40","16","184","72","120","144"
"1","16040","7","48","60282864","392","40","16","184","72","160","144"
"1","16041","7","48","60320264","392","40","16","184","72","432","144"
"1","16042","7","48","60599024","392","40","16","184","72","432","144"
"1","16043","7","48","60022984","392","40","16","184","120","224","144"
"1","16044","7","48","60022984","392","40","16","184","120","256","144"
"1","16045","7","48","60022984","392","40","16","184","120","288","144"
"1","16046","7","48","60022984","392","40","16","184","120","320","144"
"1","16047","7","48","60022984","392","40","16","184","120","352","144"
"1","16048","7","48","60022984","392","40","16","184","120","384","144"
"1","16049","7","48","60022984","392","40","16","184","120","416","144"
"1","16050","7","48","60022984","392","40","16","184","120","448","144"
"1","16051","7","48","60022984","392","40","16","184","120","480","144"
"1","16052","7","48","60022984","392","40","16","184","120","512","144"
"1","16053","7","48","60282864","392","40","16","184","120","0","144"
"1","16054","7","48","60282864","392","40","16","184","120","40","144"
"1","16055","7","48","60282864","392","40","16","184","120","80","144"
"1","16056","7","48","60282864","392","40","16","184","120","120","144"
"1","16057","7","48","60282864","392","40","16","184","120","160","144"
"1","16058","7","48","60320264","392","40","16","184","120","432","144"
"1","16059","7","48","60599024","392","40","16","184","120","432","144"
"1","16060","7","48","60282864","392","40","16","184","32","16","144"
"1","16061","7","48","60282864","392","40","16","184","32","24","144"
"1","16062","7","48","60282864","392","40","16","184","120","16","144"
"1","16063","7","48","60282864","392","40","16","184","32","56","144"
"1","16064","7","48","60282864","392","40","16","184","120","24","144"
"1","16065","7","48","60282864","392","40","16","184","208","16","144"
"1","16066","7","48","60282864","392","40","16","184","32","96","144"
"1","16067","7","48","60282864","392","40","16","184","120","56","144"
"1","16068","7","48","60282864","392","40","16","184","208","24","144"
"1","16069","7","48","60282864","392","40","16","184","32","104","144"
"1","16070","7","48","60282864","392","40","16","184","120","96","144"
"1","16071","7","48","60282864","392","40","16","184","208","56","144"
"1","16072","7","48","60282864","392","40","16","184","32","136","144"
"1","16073","7","48","60282864","392","40","16","184","120","104","144"
"1","16074","7","48","60282864","392","40","16","184","208","96","144"
"1","16075","7","48","60282864","392","40","16","184","32","144","144"
"1","16076","7","48","60282864","392","40","16","184","120","136","144"
"1","16077","7","48","60282864","392","40","16","184","208","104","144"
